C1:1
C10:1
C11:1
C12:1
C13:2
C14:2
C15:1
C16:1
C2:1
C3:2
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D2:1
G3:1
J1:1
JP2:1
KIBUZZARD-65A99A9C:1
KIBUZZARD-65A99AA3:1
KIBUZZARD-65AA9C9F:1
LED1:1
LED2:1
LED3:1
LED4:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R13:2
R14:1
R15:1
R16:2
R17:1
R19:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
ST1:1
ST3:1
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
U1:2
U2:1
U3:1
U4:1
U5:1
U6:1
U8:1
U9:1
USB2:1
X1:1
