Ref,Val,Package,PosX,PosY,Rot,Side
"FID1","Fiducial_0.5mm","Fiducial_0.5mm_Mask1mm",17.145000,0.635000,180.000000,bottom
"JP2","~","Jumper_2_NC_Trace",14.922500,24.130000,90.000000,bottom
